"","lake","Risk_Level","Region","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH3 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (ug/L)"
"115","Tanners","Impacted","East Metro",2023-09-12,"Hypo",NA,790.8304,1512.8909,3.4814,4.14666366906475,0.0048,30.5561,6.4893,10.4794,279.6
"116","Phalen","Least Impacted","East Metro",2023-09-12,"Hypo",NA,321.5061,512.1216,3.0852,1.9478,0.0067,20.478,5.7413,6.9104,193.6
"117","Bde Maka Ska","At Risk","South Metro",2023-09-13,"Hypo",NA,316.6995,406.544,2.15,1.0863,0.0074,20.1492,4.1445,3.7678,173.87
"118","Cedar","Least Impacted","South Metro",2023-09-13,"Hypo",NA,138.6435,623.472,2.5616,3.89060015993603,0.0055,28.9289,6.1305,9.0481,165.84
"119","Brownie","Impacted","South Metro",2023-09-13,"Hypo",NA,123.4617,199.8728,NA,NA,0.0078,NA,5.5464,2.7203,NA
"120","Smith","Least Impacted","Central MN",2023-10-20,"Epi",NA,3.025,49.5557,1.0469,0.014,0.0436,36.9733,NA,7.1901,14.67
"121","Henry","Impacted","Central MN",2023-10-20,"Epi",13.1448838909193,3.2244,29.447,1.3417,0.2844,0.1061,34.8201,NA,2.6456,483.92
"122","Uhlenkolts","At Risk","Central MN",2023-10-20,"Epi",69.5423964014619,410.936,693.5024,7.239,0.098,0.1054,39.6246,NA,11.9654,34.11
"123","Henry","Impacted","Central MN",2023-10-20,"Hypo",NA,372.5639,89.8323,1.5436,0.0173,0.1157,33.7453,10.2242,2.7001,479.36
"124","Smith","Least Impacted","Central MN",2023-10-20,"Hypo",NA,73.9058,194.535,0.8925,0.0224,0.0363,35.3015,14.9676,7.2614,15.01
"125","Uhlenkolts","At Risk","Central MN",2023-10-20,"Hypo",NA,444.5768,754.2498,17.177,2.3143,0.112,41.1483,0.2345,11.9234,34.84
"126","Minnetonka","Least Impacted"," West Metro",2023-10-23,"Epi",4.50049817261737,2.7025,19.1359,0.9692,0.0159,0.01,28.7203,6.7883,3.8079,53.43
"127","Medicine","At Risk"," West Metro",2023-10-23,"Epi",3.51287489457408,41.2701,79.134,1.1537,0.2137,0.1149,23.2553,6.7386,9.691,186.46
"128","Parkers","Impacted"," West Metro",2023-10-23,"Epi",7.38502783244307,2.6014,26.5737,0.6146,0.098,0.0225,28.0584,5.0497,6.7914,186.6
"129","Snail","Least Impacted","North Metro",2023-11-13,"Epi",3.22250705650829,1.2995,15.8998,0.8393,0.0173,0.0175,18.5399,6.8268,NA,111.03
"130","Little Johanna","Impacted","North Metro",2023-10-26,"Epi",9.92582963171212,10.0681,47.0483,0.7963,0.0975,0.1952,13.0199,4.6358,2.6959,80.88
"131","Wabasso","At Risk","North Metro",2023-11-13,"Epi",6.35090806859713,4.1207,24.4477,0.7514,0.0523,0.0045,22.2069,7.1299,NA,65.69
"132","McCarrons","At Risk","East Metro",2023-10-26,"Epi",6.50834411020523,2.3583,20.7333,0.6088,0.0333,0.0087,27.9584,5.5557,1.5756,137.4
"133","Tanners","Impacted","East Metro",2023-10-24,"Epi",24.7258791116109,1.3749,24.7383,0.7615,0.0141,0.0045,27.0746,7.0468,1.9574,192.8
"134","Phalen","Least Impacted","East Metro",2023-10-24,"Epi",4.27746527973011,1.5178,17.6339,0.626,0.0226,0.009,23.0177,6.9013,2.4819,210.48
